key,zh,en
POL.StyleElegant,古典雅致,Classical elegance
POL.StyleConcise,现代简洁,Modern concision
POL.StylePoetic,诗意优美,Poetic beauty
POL.StyleLively,生动活泼,Lively
POL.StyleSolemn,庄重严肃,Solemn
POL.StyleHumorous,幽默风趣,Humorous
POL.HintIntensity,润色强度,Polish intensity
POL.IntensityLight,轻度润色,Light polish
POL.IntensityMedium,中度润色,Medium polish
POL.IntensityDeep,深度润色,Deep polish
POL.HintPreserve,保持要素,Preserve
POL.PreserveMeaning,保持原意,Preserve meaning
POL.PreserveStructure,保持结构,Preserve structure
POL.PreserveStyle,保持风格,Preserve style
POL.PreserveAll,全面优化,Optimize everything
POL.StartPolish,开始润色,Start Polish
POL.AdvancedOptions,高级润色选项,Advanced Polish Options
POL.HintFocus,润色重点,Polish focus
POL.FocusVocab,词汇优化,Vocabulary
POL.FocusSentence,句式调整,Sentence structure
POL.FocusGrammar,语法修正,Grammar fixes
POL.FocusStyle,风格统一,Style consistency
POL.FocusAll,全面润色,Full polish
POL.HintEmotionalTone,情感基调,Emotional tone
POL.ToneKeep,保持原有,Keep original
POL.ToneCalm,温和平静,Calm
POL.TonePassionate,激昂热烈,Passionate
POL.ToneIntroverted,深沉内敛,Restrained
POL.ToneRelaxed,轻松愉快,Light-hearted
POL.HintAudience,目标读者,Target audience
POL.AudienceGeneral,通用读者,General readers
POL.AudienceTeen,青少年,Young adults
POL.AudienceAdult,成年读者,Adult readers
POL.AudiencePro,专业读者,Professional readers
POL.AutoCorrect,自动纠错,Auto-correct
POL.EnhanceDescription,增强描写,Enhance description
POL.OptimizeDialogue,优化对话,Optimize dialogue
POL.KeepOriginalStyle,保持原风格,Keep original style
POL.HintSpecialReq,特殊要求（如特定词汇偏好、避免的表达等）,"Special requirements (e.g. word preferences, expressions to avoid)"
POL.Original,原文,Original
POL.ZeroWords,(0字),(0 words)
POL.WordCountFmt,({0:N0}字),({0:N0} words)
POL.TabPreview,润色预览,Polish Preview
POL.Result,润色结果,Polished Result
POL.HintPolishedPlaceholder,润色后的内容将显示在这里...,Polished content will appear here...
POL.RePolish,重新润色,Re-polish
POL.ShowDiff,对比差异,Compare Differences
POL.TabReplacements,替换项,Replacements
POL.ReplacementList,替换项列表,Replacement List
POL.Replacements0,共0项替换建议,0 replacement suggestions
POL.ReplacementStatsFmt,共{0}项替换建议，已选择{1}项,"{0} replacement suggestions, {1} selected"
POL.DeselectAll,全不选,Deselect All
POL.ColOriginal,原文,Original
POL.ColReplaceWith,替换为,Replace With
POL.ColType,类型,Type
POL.ColContext,上下文,Context
POL.ApplySelected,应用选中项,Apply Selected
POL.TabSuggestions,智能建议,Suggestions
POL.SuggestionsTitle,AI智能建议,AI Suggestions
POL.RefreshSuggestions,刷新建议,Refresh Suggestions
POL.ApplyAllSuggestions,应用所有建议,Apply All Suggestions
POL.TabQuality,质量分析,Quality Analysis
POL.QualityTitle,文本质量分析,Text Quality Analysis
POL.ApplyPolish,应用润色,Apply Polish
POL.Polishing,润色中...,Polishing...
POL.PreparingParams,正在准备润色参数...,Preparing polish parameters...
POL.ServiceNotInit,AI服务未初始化，请检查配置,AI service not initialized. Please check the configuration
POL.ServiceNotInitShort,AI服务未初始化,AI service not initialized
POL.ServiceInitFailedFmt,初始化AI服务失败：{0},Failed to initialize the AI service: {0}
POL.CallingService,正在调用AI润色服务...,Calling the AI polish service...
POL.AiAnalyzing,AI正在分析文本...,AI is analyzing the text...
POL.ProcessingResult,正在处理润色结果...,Processing polish results...
POL.EmptyResult,AI润色返回空内容，未生成可用结果。请调整要求或切换模型后重试。,The AI polish returned empty content and produced no usable result. Adjust the requirements or switch models and try again.
POL.DoneStatus,文本润色完成！,Text polishing complete!
POL.DoneMsg,文本润色完成！,Text polishing complete!
POL.SuccessTitle,成功,Success
POL.PolishFailedMsgFmt,AI润色失败：{0},AI polish failed: {0}
POL.PolishErrorFmt,润色文本失败：{0},Failed to polish the text: {0}
POL.Copied,润色内容已复制到剪贴板,Polished content copied to the clipboard
POL.CopyFailedFmt,复制失败：{0},Copy failed: {0}
POL.PolishFirst,请先进行润色,Please polish first
POL.ShowDiffFailedFmt,显示差异失败：{0},Failed to show differences: {0}
POL.SelectAtLeastOne,请至少选择一个替换项,Please select at least one replacement
POL.ApplySelectedConfirmFmt,确定要应用选中的 {0} 个替换项吗？,Apply the {0} selected replacements?
POL.AppliedSelectedFmt,已应用 {0} 个替换项,{0} replacements applied
POL.HistoryInvalid,历史记录内容无效。,The history record content is invalid.
POL.HistoryLoadedFmt,已载入润色记录：{0},Polish record loaded: {0}
POL.LoadSuccessTitle,加载成功,Loaded Successfully
POL.ShowHistoryFailedFmt,显示历史记录失败：{0},Failed to show history: {0}
POL.BatchFailedFmt,批量润色失败：{0},Batch polish failed: {0}
POL.RefreshSuggestionsFailedFmt,刷新建议失败：{0},Failed to refresh suggestions: {0}
POL.ApplyAllConfirm,确定要应用所有智能建议吗？,Apply all smart suggestions?
POL.AppliedAll,已应用所有智能建议,All smart suggestions applied
POL.ApplySuggestionsFailedFmt,应用建议失败：{0},Failed to apply suggestions: {0}
POL.NothingToApply,当前没有可应用的润色内容。,There is no polished content to apply.
POL.Splitting,正在拆分长文本...,Splitting the long text...
POL.BatchProgressFmt,正在批量润色第 {0}/{1} 段...,Batch polishing segment {0}/{1}...
POL.ChunkFailedFmt,第 {0} 段润色失败：{1},Segment {0} polish failed: {1}
POL.AiEmptyFallback,AI 返回空内容,the AI returned empty content
POL.Merging,正在合并批量润色结果...,Merging batch polish results...
POL.BatchEmpty,批量润色未返回可用结果。,Batch polish returned no usable result.
POL.BatchDoneFmt,批量润色完成，共处理 {0} 段。,Batch polish complete. {0} segments processed.
POL.RwkvOfflineFmt,RWKV（离线，{0}）,"RWKV (offline, {0})"
POL.ModelOnlineFmt,{0}（当前在线）,{0} (online)
POL.RwkvNotRegistered,RWKV 推理服务未注册，请检查应用配置。,The RWKV inference service is not registered. Please check the app configuration.
POL.AiUnavailable,AI服务不可用,AI Service Unavailable
POL.RwkvOfflineDetailsFmt,RWKV 推理服务不在线或无响应（{0}）。\n\n请到「AI模型配置」页启动 RWKV 服务后再试。,The RWKV inference service is offline or not responding ({0}).\n\nStart the RWKV service on the AI Model Configuration page and try again.
POL.RwkvCheckFailedFmt,检查 RWKV 推理服务状态失败：{0},Failed to check the RWKV inference service status: {0}
POL.UnknownError,未知错误，请重试。,Unknown error. Please try again.
POL.ConnectionError,模型服务连接失败，请确认 RWKV 推理服务已启动（可在「AI模型配置」页查看状态），然后重试。,"Could not connect to the model service. Make sure the RWKV inference service is running (check its status on the AI Model Configuration page), then try again."
POL.Tweak,微调,Tweaked
POL.ExpandFmt,扩展 +{0:F1}%,Expanded +{0:F1}%
POL.CondenseFmt,精简 {0:F1}%,Condensed {0:F1}%
POL.TypeAiPolish,AI润色,AI polish
POL.TypeFullPolish,整体润色,Full-text polish
POL.TypeOptimize,优化,Optimize
POL.SugVocabulary,词汇丰富度,Vocabulary richness
POL.SugVocabularyContent,建议增加更多形容词和副词来丰富表达,Add more adjectives and adverbs to enrich the expression
POL.SugSentence,句式变化,Sentence variety
POL.SugSentenceContent,适当调整句子长短，增加语言节奏感,Vary sentence length to add rhythm
POL.SugEmotion,情感表达,Emotional expression
POL.SugEmotionContent,可以加强人物内心情感的描写,Strengthen the portrayal of characters' inner feelings
POL.SugScene,场景描述,Scene description
POL.SugSceneContent,环境描写可以更加细腻生动,Make the environmental description more vivid and detailed
POL.SugDialogue,对话优化,Dialogue polish
POL.SugDialogueContent,人物对话可以更符合角色性格特点,Make the dialogue better fit each character's personality
POL.PriorityHigh,高,High
POL.PriorityMedium,中,Medium
POL.PriorityLow,低,Low
POL.QaVocabulary,词汇丰富度,Vocabulary richness
POL.QaVocabularyDesc,词汇使用较为丰富，但可以进一步增加同义词的使用,"Vocabulary is fairly rich, but more synonyms could be used"
POL.QaSentence,句式变化,Sentence variety
POL.QaSentenceDesc,句式有一定变化，建议增加更多复合句和修辞手法,Sentences vary somewhat; consider more complex sentences and rhetorical devices
POL.QaGrammar,语法正确性,Grammar correctness
POL.QaGrammarDesc,语法使用基本正确，仅有少量标点符号需要调整,Grammar is mostly correct; only a few punctuation marks need adjusting
POL.QaLogic,逻辑连贯性,Logical coherence
POL.QaLogicDesc,逻辑结构清晰，段落间过渡自然,The logic is clear and paragraphs transition naturally
POL.QaEmotion,情感表达,Emotional expression
POL.QaEmotionDesc,情感表达真实，可以加强细节描写,Emotions feel authentic; add more detail
POL.ScoreFmt,{0}分,{0} pts
POL.HistoryDefaultNameFmt,润色记录_{0:yyyyMMdd_HHmmss},Polish record_{0:yyyyMMdd_HHmmss}
POL.HistoryTitle,润色历史记录,Polish History
POL.HistoryPrompt,请选择要查看或回填的润色记录：,Select a polish record to view or restore:
POL.Load,载入,Load
POL.SelectHistoryFirst,请先选择一条历史记录。,Please select a history record first.
POL.DeleteHistoryConfirmFmt,确定删除记录“{0}”吗？,"Delete record ""{0}""?"
POL.ConfirmDeleteTitle,确认删除,Confirm Deletion
POL.RecordInvalid,记录内容无效。,The record content is invalid.
POL.PreviewTitleFmt,标题: {0},Title: {0}
POL.PreviewTimeFmt,时间: {0},Time: {0}
POL.PreviewModelFmt,模型: {0},Model: {0}
POL.PreviewTargetStyleFmt,目标风格: {0},Target style: {0}
POL.PreviewIntensityFmt,润色强度: {0},Polish intensity: {0}
POL.PreviewReplacementCountFmt,替换建议数: {0},Replacement suggestions: {0}
POL.PreviewOriginal,原文:,Original:
POL.PreviewPolished,润色后:,Polished:
POL.ReadRecordFailedFmt,读取记录失败：{0},Failed to read the record: {0}
POL.DiffDialogTitle,文本对比,Text Comparison
PG.Title,前置条件生成,Prerequisite Generation
PG.Header,AI编辑前置条件生成,AI Edit Prerequisite Generation
PG.Desc,为确保AI编辑功能正常运行，系统将检查并生成必要的前置数据，并按项目基础信息、世界观、大纲、配套设定、卷章写作的顺序展示当前流程状态。,"To ensure AI editing works properly, the system will check and generate the required prerequisite data, showing the current pipeline status in the order of project basics, worldview, outline, supporting settings, and volume/chapter writing."
PG.ProjectSelection,项目选择,Project Selection
PG.HintSelectProject,选择已有项目,Select an existing project
PG.SummaryPlaceholder,请选择项目后查看当前写作流程状态。,Select a project to see the current writing pipeline status.
PG.ContextSummary,AI 上下文约束摘要,AI Context Constraints Summary
PG.ContextPlaceholder,请选择项目后查看 AI 将遵循的上位设定与生成顺序。,Select a project to see the master settings and generation order the AI will follow.
PG.FlowChart,书籍撰写工艺流程图,Book Writing Pipeline
PG.StageProject,1. 项目基础信息,1. Project Basics
PG.StageWorld,2. 世界观,2. Worldview
PG.StageOutline,3. 大纲,3. Outline
PG.StageSupport,4. 配套设定,4. Supporting Settings
PG.StageWriting,5. 卷章写作,5. Volume & Chapter Writing
PG.DataStatus,当前项目数据状态,Current Project Data Status
PG.PlotsChecking,剧情大纲: 检查中...,Plots: checking...
PG.CharactersChecking,主要角色: 检查中...,Main characters: checking...
PG.WorldChecking,世界设定: 检查中...,World settings: checking...
PG.FactionsChecking,势力组织: 检查中...,Factions: checking...
PG.CultivationChecking,修炼体系: 检查中...,Cultivation systems: checking...
PG.PlotsStatusFmt,剧情大纲: {0} 个 {1},Plots: {0} {1}
PG.CharactersStatusFmt,主要角色: {0} 个 {1},Main characters: {0} {1}
PG.WorldStatusFmt,世界设定: {0} 个 {1},World settings: {0} {1}
PG.FactionsStatusFmt,势力组织: {0} 个 {1},Factions: {0} {1}
PG.CultivationReadyFmt,修炼体系: {0} 套 ✓,Cultivation systems: {0} ✓
PG.CultivationEmpty,修炼体系: 未设定，AI 可自上而下生成自定义等级体系,Cultivation systems: none yet. The AI can generate a custom tier system top-down
PG.NeedGenerate,需要生成,generation needed
PG.PlotsNoProject,剧情大纲: 未选择项目,Plots: no project selected
PG.CharactersNoProject,主要角色: 未选择项目,Main characters: no project selected
PG.WorldNoProject,世界设定: 未选择项目,World settings: no project selected
PG.FactionsNoProject,势力组织: 未选择项目,Factions: no project selected
PG.CultivationNoProject,修炼体系: 未选择项目,Cultivation systems: no project selected
PG.Options,生成选项,Generation Options
PG.GenPlots,生成剧情大纲,Generate plot outlines
PG.GenCharacters,生成主要角色,Generate main characters
PG.GenWorld,生成世界设定,Generate world settings
PG.GenFactions,生成势力组织,Generate factions
PG.GenCultivation,生成修炼体系（AI 自定义等级体系）,Generate a cultivation system (AI-defined tiers)
PG.AdvancedOptions,高级选项,Advanced Options
PG.GenreLabel,书籍类型:,Book genre:
PG.GenreXianxia,修仙,Cultivation
PG.GenreUrban,都市,Urban
PG.GenreFantasy,玄幻,Fantasy
PG.GenreScifi,科幻,Sci-fi
PG.GenreHistory,历史,Historical
PG.GenreOther,其他,Other
PG.WorldLabel,世界观:,Worldview:
PG.WorldEastern,东方玄幻,Eastern fantasy
PG.WorldWestern,西方奇幻,Western fantasy
PG.WorldModern,现代都市,Modern urban
PG.WorldFuture,未来科幻,Future sci-fi
PG.WorldAncient,古代历史,Ancient history
PG.WorldMixed,混合风格,Mixed style
PG.UseAiGen,使用AI智能生成 (更个性化),Use AI generation (more personalized)
PG.HintAiPrompt,AI生成提示 (描述您想要的书籍风格、主题等),"AI prompt (describe your desired book style, theme, etc.)"
PG.AllowEditing,允许用户后续编辑和删减,Allow the user to edit and trim later
PG.Progress,生成进度,Progress
PG.Preparing,准备开始生成...,Preparing to generate...
PG.Result,生成结果,Result
PG.Back,返回上一界面,Back
PG.CheckStatus,检查状态,Check Status
PG.CheckStatusTip,重新检查当前项目的数据状态,Re-check the current project's data status
PG.StartGenerate,开始生成,Start Generation
PG.GenerateTip,根据选择的选项生成前置数据,Generate prerequisite data based on the selected options
PG.ServiceNotInit,前置条件生成服务未初始化,The prerequisite generation service is not initialized
PG.ServiceUnavailable,前置条件生成服务不可用,The prerequisite generation service is unavailable
PG.InitFailedFmt,初始化服务失败：{0},Failed to initialize services: {0}
PG.ProjectItemFmt,{0}（{1}）,{0} ({1})
PG.Uncategorized,未分类,Uncategorized
PG.LoadProjectsFailedFmt,加载项目列表失败：{0},Failed to load the project list: {0}
PG.CloseConfirm,正在生成前置数据，确定要关闭吗？,Prerequisite data is being generated. Close anyway?
PG.CheckStatusFailedFmt,检查状态失败：{0},Failed to check status: {0}
PG.NoProjectSelected,未选择项目。,No project selected.
PG.StageNoProject,未选择项目,No project selected
PG.ProjectNotFound,未找到当前项目。,The current project was not found.
PG.NotSet,未设置,Not set
PG.ProjectSummaryFmt,项目：{0}\n类型：{1}\n描述：{2},Project: {0}\nGenre: {1}\nDescription: {2}
PG.NoContextSummary,当前项目暂无可用的 AI 上下文摘要。,This project has no AI context summary yet.
PG.StageNotStarted,未开始,Not started
PG.StageReady,已就绪\n名称与类型已配置,Ready\nName and genre configured
PG.StagePendingProject,待补充\n至少需要名称与类型,Incomplete\nAt least a name and genre are required
PG.StageWorldProgressFmt,进行中/已完成\n当前 {0} 条世界设定,In progress / done\n{0} world settings so far
PG.StageWorldPending,待开始\n请先补充世界观,Not started\nFill in the worldview first
PG.StageOutlineProgressFmt,进行中/已完成\n当前 {0} 条大纲,In progress / done\n{0} outlines so far
PG.StageOutlinePending,待开始\n应基于世界观生成,Not started\nShould be based on the worldview
PG.StageSupportProgressFmt,进行中/已完成\n角色 {0} / 势力 {1},In progress / done\n{0} characters / {1} factions
PG.StageSupportPending,待开始\n建议在大纲后补齐,Not started\nRecommended after the outline
PG.StageWritingProgressFmt,进行中/已完成\n卷 {0} / 章 {1},In progress / done\n{0} volumes / {1} chapters
PG.StageWritingNotStarted,未开始\n请在基础设定后进入正文,Not started\nStart writing after the basics are in place
PG.SelectProjectFirst,请先选择一个项目。,Please select a project first.
PG.Starting,开始生成前置条件...,Starting prerequisite generation...
PG.AiGenerating,使用AI智能生成中...,Generating with AI...
PG.TemplateGenerating,使用模板生成中...,Generating from templates...
PG.Done,生成完成,Generation complete
PG.GenerateDoneFmt,前置条件生成完成！\n\n{0},Prerequisite generation complete!\n\n{0}
PG.DoneNoteEdit,\n\n✅ 您可以随时编辑、删减或增加这些数据,"\n\n✅ You can edit, trim, or extend this data at any time"
PG.DoneNoteAi,\n✅ AI也可以根据需要自主生成和写入新内容,\n✅ The AI can also generate and write new content on its own as needed
PG.SuccessTitle,生成成功,Generation Successful
PG.EnoughData,项目已有足够的前置数据，无需生成。,The project already has enough prerequisite data. No generation needed.
PG.NoNeedTitle,无需生成,No Generation Needed
PG.GenerateFailedFmt,前置条件生成失败：{0},Prerequisite generation failed: {0}
PG.FailedTitle,生成失败,Generation Failed
PG.GenerateErrorFmt,生成前置条件时发生错误：{0},An error occurred while generating prerequisites: {0}
BGO.Title,长篇批量生成选项,Long-Form Batch Generation Options
BGO.Header,批量生成任务选项,Batch Generation Task Options
BGO.Desc,未完成的任务会自动从断点续跑；新选项仅影响后续章节与新卷。,Unfinished tasks resume automatically from where they stopped. New options only affect later chapters and new volumes.
BGO.UnlimitedMode,无限续写模式（不设卷数上限，持续写新卷，直到手动取消）,Unlimited continuation mode (no volume limit; keeps writing new volumes until cancelled)
BGO.QuickSwitch,快速切卷：当前卷再写 3 章即开始下一分卷（用于验证跨卷衔接）,"Quick volume switch: write 3 more chapters in the current volume, then start the next one (to verify cross-volume transitions)"
BGO.ChaptersPerVolume,每卷章节数：,Chapters per volume:
BGO.ChaptersPerVolumeHint,（默认 30，范围 3–100）,"(default 30, range 3–100)"
BGO.TargetWordsPerChapter,每章目标字数：,Target words per chapter:
BGO.TargetWordsHint,（默认 3000，范围 800–10000）,"(default 3000, range 800–10000)"
BGO.StartGenerate,开始生成,Start Generation
BGO.ChaptersNotNumber,每卷章节数必须是数字。,Chapters per volume must be a number.
BGO.WordsNotNumber,每章目标字数必须是数字。,Target words per chapter must be a number.
BGO.InvalidInputTitle,输入有误,Invalid Input
CC.Title,章节一致性检查,Chapter Consistency Check
CC.Desc,AI将检查章节内容是否符合大纲、剧情设定、人物设定等，并提供改进建议,"AI checks whether the chapter matches the outline, plot settings, and character profiles, and offers improvement suggestions"
CC.Settings,检查设置,Check Settings
CC.CheckScope,检查范围,Check Scope
CC.PlotConsistency,剧情一致性,Plot consistency
CC.CharacterConsistency,人物一致性,Character consistency
CC.WorldSetting,世界设定,World settings
CC.TimelineLogic,时间线逻辑,Timeline logic
CC.Strictness,检查严格度,Strictness
CC.StrictMode,严格模式,Strict mode
CC.NormalMode,标准模式,Standard mode
CC.LooseMode,宽松模式,Loose mode
CC.StartCheck,开始检查,Start Check
CC.Checking,检查中...,Checking...
CC.Issues,发现的问题,Issues Found
CC.Issues0,(0个问题),(0 issues)
CC.IssueCountFmt,({0}个问题),({0} issues)
CC.Details,问题详情与建议,Issue Details & Suggestions
CC.SelectIssueHint,请选择左侧的问题查看详情,Select an issue on the left to see details
CC.ExportReport,导出报告,Export Report
CC.AutoFix,自动修复,Auto-Fix
CC.Fixing,修复中...,Fixing...
CC.ReCheck,重新检查,Re-check
CC.InitFailedFmt,初始化AI服务失败：{0},Failed to initialize the AI service: {0}
CC.ReportCopied,检查报告已复制到剪贴板,The check report has been copied to the clipboard
CC.ExportFailedFmt,导出报告失败：{0},Failed to export the report: {0}
CC.ServiceNotInit,AI服务未初始化，无法执行一致性检查。\n请确保AI服务已正确配置。,"The AI service is not initialized, so the consistency check cannot run.\nPlease make sure the AI service is configured correctly."
CC.ResultTitle,检查结果,Check Result
CC.NoValidResultFmt,一致性检查未返回有效结果：{0},The consistency check returned no valid result: {0}
CC.DoneTitle,检查完成,Check Complete
CC.DoneWithIssuesFmt,一致性检查完成！发现 {0} 个问题,Consistency check complete! {0} issues found
CC.DoneNoIssues,一致性检查完成！未发现问题,Consistency check complete! No issues found
CC.CheckFailedFmt,一致性检查失败：{0},Consistency check failed: {0}
CC.UnknownError,未知错误,unknown error
CC.SuggestionDefault,请根据AI分析结果进行修改,Please revise based on the AI analysis
CC.LocationFull,全文,Whole text
CC.CatPlot,剧情一致性,Plot consistency
CC.CatCharacter,人物一致性,Character consistency
CC.CatWorld,世界设定,World settings
CC.CatOther,其他,Other
CC.SevError,错误,Error
CC.SevWarning,警告,Warning
CC.SevInfo,提示,Info
CC.RelatedContentLabel,相关内容：,Related content: 
CC.SuggestionLabel,修改建议：,Suggestion: 
CC.ReportTitle,章节一致性检查报告,Chapter Consistency Check Report
CC.ReportChapterFmt,章节：{0}\n,Chapter: {0}\n
CC.ReportTimeFmt,检查时间：{0}\n,Check time: {0}\n
CC.ReportIssueCountFmt,发现问题：{0}个\n\n,Issues found: {0}\n\n
CC.ReportIssueHeadFmt,【{0}】{1}\n,[{0}] {1}\n
CC.ReportLocationFmt,位置：{0}\n,Location: {0}\n
CC.ReportDescFmt,描述：{0}\n,Description: {0}\n
CC.ReportSuggestionFmt,建议：{0}\n\n,Suggestion: {0}\n\n
CC.AutoFixTitle,自动修复,Auto-Fix
CC.NoIssuesConfirm,当前没有可修复的问题。是否先执行一次一致性检查？,There are no fixable issues right now. Run a consistency check first?
CC.AutoFixServiceNotInit,AI服务未初始化，无法执行自动修复。,"The AI service is not initialized, so auto-fix cannot run."
CC.AutoFixNoResultFmt,自动修复未生成有效结果：{0},Auto-fix produced no valid result: {0}
CC.AutoFixPreviewTitle,一致性自动修复预览,Consistency Auto-Fix Preview
CC.ApplyFixTitle,应用修复,Apply Fix
CC.ApplyFixConfirm,已生成修复稿。是否将修复结果应用到章节编辑器？\n选择“是”将回写正文，选择“否”仅复制到剪贴板。,"A fixed draft has been generated. Apply the fix to the chapter editor?\nChoosing ""Yes"" writes it back to the chapter text; choosing ""No"" only copies it to the clipboard."
CC.FixCopied,修复稿已复制到剪贴板，你可以按需手动比对后使用。,The fixed draft has been copied to the clipboard. Compare it manually before use.
CC.AutoFixFailedFmt,自动修复失败：{0},Auto-fix failed: {0}
TC.WindowTitle,AI思维过程,AI Thinking Process
TC.PinTip,切换置顶,Toggle always on top
TC.MinimizeTip,最小化,Minimize
TC.ConfidenceLabel,置信度: ,Confidence: 
TC.StatusPreparing,准备中...,Preparing...
TC.StatusProcessingFmt,处理中... ({0}/{1}),Processing... ({0}/{1})
TC.StatusCompletedFmt,已完成 ({0:F1}秒),Completed ({0:F1}s)
TC.StatusFailed,处理失败,Failed
TC.StatusCancelled,已取消,Cancelled
TC.StatusUnknown,未知状态,Unknown status
TC.PauseResumeTip,暂停/继续,Pause/Resume
TC.PauseTip,暂停,Pause
TC.ResumeTip,继续,Resume
TC.ExportTip,导出思维链,Export thinking chain
TC.ExportDialogTitle,导出思维链,Export Thinking Chain
TC.ExportFileNameFmt,思维链_{0}_{1:yyyyMMdd_HHmmss},ThinkingChain_{0}_{1:yyyyMMdd_HHmmss}
TC.ExportedFmt,思维链已导出到: {0},Thinking chain exported to: {0}
TC.ExportSuccessTitle,导出成功,Export Successful
TC.ExportFailedFmt,导出失败: {0},Export failed: {0}
TC.ExportErrorTitle,导出错误,Export Error
IE.Fmt.Format,格式: {0},Format: {0}
IE.Fmt.Time,时间: {0:yyyy-MM-dd HH:mm},Time: {0:yyyy-MM-dd HH:mm}
IE.Fmt.Size,大小: {0:N0} 字节,Size: {0:N0} bytes
AMC.Timeout30s,30秒,30 seconds
DG.SampleChars,"主角,配角A","Protagonist, Supporting A"
TC.ExportFilter,Markdown文件 (*.md)|*.md|JSON文件 (*.json)|*.json|文本文件 (*.txt)|*.txt|HTML文件 (*.html)|*.html,Markdown Files (*.md)|*.md|JSON Files (*.json)|*.json|Text Files (*.txt)|*.txt|HTML Files (*.html)|*.html
AMC.InitFallbackFmt,配置服务初始化失败，使用默认服务: {0},"Configuration service initialization failed, using default service: {0}"
AMC.MaxLengthLiveFmt,{0:F0}字符,{0:F0} chars
AMC.TimeoutLiveFmt,{0:F0}秒,{0:F0} s
AMC.ExportedStatusFmt,配置已导出到 {0},Configuration exported to {0}
AMC.ExportedFmt,配置已导出到：{0},The configuration has been exported to: {0}
AMC.ImportedStatusFmt,已导入并应用配置: {0},Configuration imported and applied: {0}
AMC.FilterJsonAll,JSON文件|*.json|所有文件|*.*,JSON Files|*.json|All Files|*.*
AMC.LoadFail,加载配置失败,Failed to load the configuration
AMC.UpdateMetricsFail,更新性能指标失败,Failed to update performance metrics
DG.InitFallbackFmt,服务初始化失败，使用默认服务: {0},"Service initialization failed, using default service: {0}"
DG.LenMedium,中等,Medium
DG.GenFailFmt,生成失败: {0},Generation failed: {0}
DG.OptFailFmt,优化失败: {0},Optimization failed: {0}
DG.SavedToChapterFmt,已保存到项目章节草稿：{0},Saved to the project chapter draft: {0}
DG.SaveFailFmt,保存失败：{0},Save failed: {0}
DG.ExportedFmt,已导出到：{0},Exported to: {0}
DG.ExportFailFmt,导出失败：{0},Export failed: {0}
DG.ExportFilter,Markdown 文件|*.md|文本文件|*.txt|JSON 文件|*.json,Markdown Files|*.md|Text Files|*.txt|JSON Files|*.json
DG.TemplateFileNameFmt,对话模板_{0:yyyyMMdd_HHmmss},DialogueTemplate_{0:yyyyMMdd_HHmmss}
DG.TemplateSaveFailFmt,模板保存失败：{0},Failed to save the template: {0}
DG.TemplateFilter,对话模板|*.json,Dialogue Templates|*.json
DG.TemplateLoadFailFmt,模板加载失败：{0},Failed to load the template: {0}
DG.LoadCharsFailFmt,加载角色失败：{0},Failed to load characters: {0}
CWR.InitFailedFmt,初始化AI服务失败：{0},Failed to initialize the AI service: {0}
CWR.TemplateMgrOpenFailFmt,打开模板管理失败：{0},Failed to open template management: {0}
CWR.TemplateFileNameFmt,章节模板_{0:yyyyMMdd_HHmmss},ChapterTemplate_{0:yyyyMMdd_HHmmss}
CWR.TemplateSaveFailFmt,保存模板失败：{0},Failed to save the template: {0}
CWR.PolishFailFmt,润色内容失败：{0},Failed to polish the content: {0}
CWR.UpdateUIFailFmt,内容生成成功，但界面更新失败：{0},"Content generated, but the UI update failed: {0}"
CWR.GenerateFailFmt,章节生成失败：{0},Chapter generation failed: {0}
CWR.ReadTimeFmt,阅读时间: {0}分钟,Reading time: {0} min
CWR.QualityFmt,质量: {0}({1}分),Quality: {0} ({1} pts)
CWR.DebugEnabledFmt,启用={0}，命中轮次={1}，回退轮次={2},"Enabled={0}, hit rounds={1}, fallback rounds={2}"
CWR.DebugCandidateFmt,候选索引={0}，评分={1},"Candidate index={0}, score={1}"
POL.InitFailedFmt,初始化AI服务失败：{0},Failed to initialize the AI service: {0}
POL.CheckRwkvFailedFmt,检查 RWKV 推理服务状态失败：{0},Failed to check the RWKV inference service status: {0}
POL.DiffFailFmt,显示差异失败：{0},Failed to show the diff: {0}
POL.RecordLoadedFmt,已载入润色记录：{0},Polish record loaded: {0}
POL.HistoryShowFailFmt,显示历史记录失败：{0},Failed to show the history: {0}
POL.BatchFailFmt,批量润色失败：{0},Batch polish failed: {0}
POL.RefreshSugFailFmt,刷新建议失败：{0},Failed to refresh suggestions: {0}
POL.ApplySugFailFmt,应用建议失败：{0},Failed to apply suggestions: {0}
POL.AIFailFmt,AI润色失败：{0},AI polish failed: {0}
POL.PolishFailFmt,润色文本失败：{0},Failed to polish the text: {0}
POL.ChunkFailFmt,第 {0} 段润色失败：{1},Segment {0} polish failed: {1}
POL.XmlParseFailFmt,解析XML替换失败：{0},Failed to parse XML replacements: {0}
POL.ReplListFailFmt,处理替换列表失败：{0},Failed to process the replacement list: {0}
POL.ShrinkFmt,精简 {0:F1}%,Condensed {0:F1}%
POL.ReplSummaryFmt,共{0}项替换建议，已选择{1}项,"{0} replacement suggestions, {1} selected"
POL.RecordFileNameFmt,润色记录_{0:yyyyMMdd_HHmmss},PolishRecord_{0:yyyyMMdd_HHmmss}
POL.DiffDescFmt,润色优化：{0}... → {1}...,Polish: {0}... → {1}...
